block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,bar_seq5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,boll_up,boll_lo,vol_ratio,vol5_vs20,turnover,hi20,lo20,sup20,res20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,shrink_pullback,stale,ex_gaps_recent,error
AI硬件,SZ,300394,天孚通信,20260923,275.4,-0.16,2.4,6.7,8.6,多头,278.56,270.71,264.18,245.4,4.2,12.2,1.6,7.064,5.942,2.244,金叉(5日前),"1.372,3.254,3.485,2.914,2.244",True,58.3,57.0,66.5,67.1,65.3,77.0,284.96,243.4,0.62,0.94,2.17,292.07,237.8,237.8,292.07,295.0,155.55,-6.6,86.0,0,False,False,False,20260612:-26.5%;20250609:-26.4%;20240530:-29.3%,
AI硬件,SH,688313,仕佳光子,20260923,163.68,-0.68,1.8,10.6,9.5,多头,166.19,158.19,154.74,140.28,5.8,16.7,1.8,5.841,4.695,2.292,金叉(5日前),"0.256,2.143,3.290,2.907,2.292",True,58.8,58.0,69.9,68.9,71.8,77.0,171.37,138.1,0.67,1.08,2.62,177.69,140.5,140.5,177.69,177.69,81.68,-7.9,85.0,0,False,False,False,,
AI硬件,SZ,300570,太辰光,20260923,226.18,-0.56,9.6,12.2,14.6,强多头,224.53,212.59,204.98,181.59,10.3,24.6,2.3,11.436,9.505,3.862,金叉(5日前),"0.291,2.916,3.540,4.071,3.862",True,69.6,63.5,69.2,69.1,69.3,90.0,231.61,178.36,0.74,1.2,6.89,242.99,178.18,178.18,242.99,251.82,102.3,-10.2,83.0,0,False,False,False,20170630:-45.5%,
AI硬件,SH,688025,杰普特,20260923,449.79,2.2,1.2,13.6,14.5,强多头,442.89,424.55,407.78,376.95,10.3,19.3,2.2,17.546,13.227,8.638,,"6.152,8.168,9.389,8.581,8.638",True,70.2,62.5,82.0,77.4,91.3,90.0,460.04,355.53,0.76,1.06,2.41,458.98,357.04,357.04,458.98,461.65,247.0,-2.6,94.0,0,False,False,False,,
AI硬件,SH,688143,长盈通,20260923,193.59,-1.74,1.2,11.1,13.5,多头,197.06,192.74,181.39,142.87,6.7,35.5,5.4,14.308,14.379,-0.141,死叉(1日前),"2.013,1.626,2.262,1.256,-0.141",True,54.9,59.7,70.0,73.5,62.9,72.0,208.84,153.94,0.6,0.84,7.18,215.0,157.01,157.01,215.0,215.0,78.34,-10.0,84.0,0,True,False,False,20230629:-25.7%,
AI硬件,SZ,300620,光库科技,20260923,289.18,-0.97,-2.2,-0.9,1.5,空头,293.51,292.39,293.86,280.38,-1.6,3.1,-0.4,0.884,1.651,-1.534,,"-2.115,-1.180,-0.945,-1.101,-1.534",True,43.7,48.9,47.2,48.8,44.1,37.0,312.35,275.36,0.66,1.06,3.02,325.98,276.19,276.19,325.98,347.0,184.35,-16.7,64.0,0,False,False,False,20230518:-31.5%;20211101:-33.8%,
AI硬件,SZ,300548,长芯博创,20260923,239.0,1.19,2.4,11.1,23.9,强多头,237.88,225.62,217.01,195.99,10.1,21.9,4.8,11.289,8.696,5.186,,"3.653,5.177,6.405,5.710,5.186",True,67.6,63.0,79.7,75.2,88.6,88.0,245.64,188.38,0.71,0.93,3.25,247.8,191.87,191.87,247.8,247.8,123.48,-3.6,93.0,0,False,False,False,20220513:-34.7%;20200520:-42.8%,
AI硬件,SH,603228,景旺电子,20260923,107.45,1.25,1.0,-2.0,19.2,多头,106.49,107.34,102.3,87.25,5.0,23.2,3.8,4.747,5.117,-0.74,死叉(4日前),"0.078,-0.483,-0.177,-0.588,-0.740",True,56.3,58.8,44.0,51.4,29.3,67.0,117.26,87.33,0.76,0.82,2.97,113.6,85.6,85.6,113.6,113.6,61.54,-5.4,88.0,1,True,False,False,20200526:-28.7%;20190516:-29.5%,
AI硬件,SZ,300476,胜宏科技,20260923,244.3,0.91,6.1,4.6,-2.1,震荡,236.87,232.47,233.43,247.2,4.7,-1.2,-1.3,-2.79,-5.529,5.478,金叉(4日前),"-0.170,0.354,3.469,4.610,5.478",False,63.5,53.0,65.4,54.1,87.9,76.0,254.23,212.63,1.04,1.32,3.64,264.94,217.44,217.44,264.94,324.66,177.88,-24.8,45.0,0,False,False,False,20180316:-44.5%;20160503:-60.6%,
AI硬件,SZ,002463,沪电股份,20260923,128.1,2.37,0.2,0.4,7.4,多头,125.24,126.17,123.62,121.52,3.6,5.4,1.7,1.718,1.474,0.489,,"1.022,0.513,0.462,0.270,0.489",True,63.1,56.4,62.5,61.6,64.3,77.0,132.05,115.2,1.27,1.04,3.22,131.25,110.59,110.59,131.25,142.99,94.73,-10.4,69.0,1,False,False,False,20140627:-18.9%;20130424:-19.6%;20120410:-29.4%,
AI硬件,SH,601208,东材科技,20260923,55.0,5.38,1.3,16.6,23.2,强多头,52.71,51.18,49.83,47.62,10.4,15.5,4.1,1.689,1.13,1.117,,"1.093,0.967,1.009,0.895,1.117",True,71.0,62.3,76.6,70.0,90.0,100.0,54.97,44.7,1.45,1.23,9.72,55.98,44.86,44.86,55.98,67.6,32.25,-18.6,64.0,2,False,False,False,20210708:-21.7%;20120507:-50.1%,
AI硬件,SH,688205,德科立,20260923,229.66,2.43,4.9,2.8,50.9,强多头,226.19,222.02,205.75,167.2,11.6,37.4,9.1,17.173,16.257,1.833,,"3.088,2.218,4.249,2.600,1.833",True,60.1,62.4,64.5,66.2,61.0,77.0,250.54,160.96,0.91,0.86,8.4,244.0,151.0,151.0,244.0,244.0,105.01,-5.9,90.0,0,True,False,False,20250529:-21.3%,
