板块,代码,名称,市场,收盘,当日涨跌,近5日,近1月,近3月,日趋势,周趋势,月趋势,日MA排列,周MA排列,月MA排列,MA5,MA10,MA20,MA60,BIAS20,RSI14,KDJ_K,KDJ_D,KDJ_J,日MACD,周MACD,月MACD,日DIF,日DEA,VR5,量比5_20,距52周高,五二周位置,ATRpct,背离,复权修正,是否ETF,今日除息
AI硬件,603893,瑞芯微,SH,198.0,4.19,10.77,13.4,9.51,→,→,↑,均线交织,均线交织,多头排列,185.356,184.444,186.261,195.6095,6.3,44.87,58.51,37.76,100.02,金叉,死叉,死叉,-1.7831,-2.9278,1.3,0.85,-15.54,59.1,3.57,,,,
AI硬件,603929,亚翔集成,SH,159.47,-2.57,4.77,-3.83,-42.26,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),158.888,157.938,158.7505,174.854,0.45,52.36,62.65,52.61,82.71,金叉,死叉,金叉,-2.4343,-3.5494,1.04,0.97,-44.05,49.3,4.37,,,,
AI硬件,688008,澜起科技,SH,210.1,3.74,13.78,9.52,-29.03,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),198.936,195.757,197.957,217.7075,6.13,58.33,72.4,55.68,105.85,金叉,死叉,金叉,-2.783,-5.0669,1.16,1.04,-36.89,45.4,4.2,,,,
AI硬件,688025,杰普特,SH,447.0,1.0,13.74,9.21,1.13,↑,→,↑,多头排列,均线交织,多头排列,432.562,414.448,403.6845,377.1715,10.73,66.79,79.73,73.21,92.77,金叉,死叉,金叉,15.769,11.0746,0.83,1.12,-11.03,85.2,5.79,,,,
AI硬件,688048,长光华芯,SH,362.23,5.92,24.65,23.21,-13.41,→,→,↑,均线交织,均线交织,多头排列,333.488,318.589,303.082,326.0848,19.52,76.32,82.07,71.85,102.51,金叉,死叉,金叉,9.147,1.379,1.29,1.23,-28.85,67.0,5.78,,,,
AI硬件,688126,沪硅产业,SH,24.66,1.02,12.4,-0.28,-36.77,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),23.696,23.033,23.493,26.9935,4.97,54.56,77.32,56.51,118.94,金叉,死叉,金叉,-0.5375,-0.8716,0.79,1.32,-43.79,29.5,3.59,,,,
AI硬件,688143,长盈通,SH,205.07,4.88,4.1,36.51,13.93,↑,→,↑,多头排列,均线交织,多头排列,195.198,187.903,178.8265,141.9968,14.68,66.63,81.11,75.0,93.31,金叉,金叉,金叉,15.3711,14.2399,1.07,0.79,-19.58,77.3,8.56,,,,
AI硬件,688146,中船特气,SH,238.03,-0.49,9.12,-4.82,-35.67,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),233.34,229.005,235.4325,268.1062,1.1,50.65,61.76,46.91,91.44,金叉,死叉,金叉,-9.3595,-11.4525,0.98,1.26,-42.92,52.8,4.88,,,,
AI硬件,688167,炬光科技,SH,299.51,-3.89,4.44,9.99,-10.19,→,→,↑,均线交织,均线交织,多头排列,298.17,298.391,292.5175,261.088,2.39,54.61,60.31,56.56,67.81,死叉,死叉,金叉,10.6783,11.5152,1.1,0.81,-29.51,63.5,7.37,,是,,
AI硬件,688183,生益电子,SH,120.86,-0.28,-2.69,18.14,-2.7,→,→,↑,均线交织,均线交织,多头(价回MA5下),122.5,124.26,122.809,114.7587,-1.59,47.99,29.22,37.91,11.83,死叉,死叉,金叉,2.4523,3.3761,0.93,0.94,-21.49,61.3,6.26,,,,
AI硬件,688195,腾景科技,SH,190.1,-4.7,4.83,11.63,3.34,→,→,↑,均线交织,均线交织,多头排列,188.766,192.834,189.7745,160.4553,0.17,50.92,36.73,37.38,35.42,死叉,金叉,金叉,7.1958,9.069,1.34,0.81,-37.94,53.2,7.26,,是,,
AI硬件,688205,德科立,SH,243.12,10.58,12.5,55.85,24.37,↑,→,↑,多头排列,均线交织,多头排列,220.814,220.161,198.3095,166.4775,22.6,77.37,71.74,68.32,78.57,金叉,金叉,金叉,17.8272,15.7026,1.39,0.79,-21.8,69.6,6.55,,,,
AI硬件,688256,寒武纪,SH,1112.77,-0.03,7.0,14.83,-24.91,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),1108.74,1078.149,1075.0075,1175.86,3.51,50.77,68.57,61.01,83.68,金叉,死叉,金叉,-4.8055,-16.3027,0.72,1.11,-31.31,47.8,4.23,,是,,
