date,sh_margin_y,sz_margin_y,total_margin_y,sh_change_y,sh_change_pct,sz_change_y,sz_change_pct,total_change_y,total_change_pct,source,sample_status
2014-12-02,5457.12569004,2945.27445532,8402.40014536,73.19638589,1.35953468,13.56899156,0.46283611,86.76537745,1.04340053,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-03,5520.52549201,2975.69545429,8496.22094630,63.39980197,1.16178013,30.42099897,1.03287485,93.82080094,1.11659525,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-04,5694.29142951,3041.03426914,8735.32569865,173.76593750,3.14763400,65.33881485,2.19574939,239.10475235,2.81424829,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-05,5754.83801438,3056.19301293,8811.03102731,60.54658487,1.06328567,15.15874379,0.49847330,75.70532866,0.86665719,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-08,5959.95563719,3120.25936835,9080.21500554,205.11762281,3.56426406,64.06635542,2.09627976,269.18397823,3.05507922,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-09,6054.92638583,3144.72401276,9199.65039859,94.97074864,1.59348080,24.46464441,0.78405804,119.43539305,1.31533662,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-10,6140.42935191,3148.42016854,9288.84952045,85.50296608,1.41212231,3.69615578,0.11753514,89.19912186,0.96959252,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-11,6173.81768756,3171.30122385,9345.11891141,33.38833565,0.54374595,22.88105531,0.72674720,56.26939096,0.60577352,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-12,6193.76064853,3173.42860758,9367.18925611,19.94296097,0.32302478,2.12738373,0.06708236,22.07034470,0.23616976,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-15,6287.31166297,3205.61784841,9492.92951138,93.55101444,1.51040732,32.18924083,1.01433638,125.74025527,1.34234776,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-16,6379.58256722,3239.32822626,9618.91079348,92.27090425,1.46757325,33.71037785,1.05160314,125.98128210,1.32710647,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2014-12-17,6484.49628389,3284.02340960,9768.51969349,104.91371667,1.64452322,44.69518334,1.37976704,149.60890001,1.55536217,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
