block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,vol_ratio,vol5_vs20,turnover,hi20,lo20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,stale,ex_gaps_recent,error
光通信,SZ,002860,星帅尔,20260921,18.39,9.99,15.0,3.4,17.4,震荡,16.74,16.44,16.65,16.68,10.4,10.3,-0.3,0.073,-0.017,0.181,金叉(1日前),True,74.4,60.9,60.5,43.4,94.8,91.0,1.79,0.99,7.17,18.6,14.8,19.88,14.23,-7.5,74.0,1,False,True,20220621:-29.7%;20200507:-41.7%;20180427:-34.0%,
光通信,SZ,002897,意华股份,20260922,69.32,-1.7,-7.6,7.8,20.1,多头,70.24,68.87,63.93,64.11,8.4,8.1,5.5,2.851,1.999,1.704,,True,56.6,58.2,63.5,70.6,49.3,73.0,0.85,1.14,7.12,76.36,54.6,91.0,49.38,-23.8,48.0,1,False,False,20180606:-36.1%,
光通信,SZ,002902,铭普光磁,20260922,29.18,-3.38,-0.1,8.4,19.3,震荡,29.91,29.45,27.8,25.44,5.0,14.7,5.2,1.301,1.123,0.355,,True,50.8,56.3,66.6,73.7,52.6,67.0,1.12,1.51,16.27,32.08,23.71,32.08,18.49,-9.0,79.0,2,False,False,20190612:-31.3%,
光通信,SZ,002957,科瑞技术,20260922,45.43,5.95,17.2,9.9,10.8,强多头,43.05,41.29,40.77,40.38,11.4,12.5,1.3,0.698,0.164,1.067,金叉(5日前),True,77.2,62.0,85.3,72.0,111.9,112.0,2.69,1.49,11.42,45.51,36.9,55.69,29.49,-18.4,61.0,2,False,False,,
光通信,SZ,002962,五方光电,20260922,13.64,-0.29,4.0,2.7,7.4,多头,13.53,13.27,13.12,13.3,4.0,2.6,1.6,0.105,0.005,0.2,,True,71.4,58.4,81.8,74.0,97.3,95.0,1.07,1.3,3.72,13.82,12.36,21.18,10.42,-35.6,30.0,0,False,False,20210526:-17.7%;20200601:-16.7%,
光通信,SZ,002988,豪美新材,20260922,31.66,-1.37,6.2,4.9,33.6,强多头,31.62,31.02,28.26,23.63,12.0,34.0,8.1,2.316,2.122,0.386,,True,69.4,71.3,85.2,84.8,86.1,77.0,0.51,0.65,1.78,32.31,23.0,32.31,18.18,-2.0,95.0,1,True,False,,
光通信,SZ,003031,中瓷电子,20260922,133.66,-2.4,6.8,12.6,4.4,多头,136.25,128.81,125.76,124.39,6.3,7.5,0.7,2.835,1.23,3.209,金叉(5日前),True,60.1,56.3,73.4,70.5,79.1,78.0,1.05,1.26,2.49,143.42,112.4,181.2,89.09,-26.2,48.0,1,False,False,20240611:-29.3%;20220610:-29.0%;20210610:-29.0%,
光通信,SZ,300079,数码视讯,20260922,4.91,1.45,2.3,-2.6,7.7,多头,4.83,4.89,4.89,4.53,0.4,8.3,2.2,0.066,0.094,-0.056,,True,57.0,55.9,24.1,21.8,28.6,53.0,0.72,0.51,2.24,5.37,4.49,5.37,3.99,-8.6,67.0,0,False,False,20150918:-48.4%;20140521:-50.1%;20120511:-35.0%,
光通信,SZ,300123,ST亚光,20260922,4.55,0.22,2.0,-9.0,3.2,震荡,4.59,4.66,4.75,4.32,-4.2,5.2,1.1,0.023,0.081,-0.115,,True,39.3,47.4,18.7,22.3,11.4,29.0,0.7,0.82,2.13,5.37,4.38,5.37,3.34,-15.3,60.0,0,False,False,20190610:-45.5%;20140609:-51.6%;20110513:-38.0%,
光通信,SZ,300184,力源信息,20260922,12.14,-1.14,2.6,2.0,2.3,震荡,12.16,11.99,12.04,12.74,0.9,-4.7,0.6,-0.093,-0.169,0.154,,False,54.1,49.5,71.2,64.8,84.0,62.0,1.15,1.16,4.22,12.62,11.37,18.3,10.75,-33.7,18.0,0,False,False,20190508:-46.4%;20150422:-48.8%;20140414:-32.5%,
光通信,SZ,300227,光韵达,20260922,10.84,-1.63,2.9,-22.3,-9.4,空头,11.1,12.04,12.67,11.04,-14.4,-1.9,-1.1,-0.169,0.218,-0.774,,False,28.1,39.6,20.6,26.5,8.7,12.0,0.62,0.95,4.13,14.68,10.16,14.68,7.33,-26.2,48.0,0,False,False,20200520:-45.0%;20180507:-33.0%;20130516:-48.4%,
光通信,SZ,300252,金信诺,20260922,12.72,-1.85,0.4,2.7,9.2,震荡,12.79,12.8,12.44,12.23,2.3,4.0,2.8,0.223,0.184,0.076,,True,51.3,53.5,49.7,53.0,43.1,65.0,0.8,0.9,5.94,13.57,11.36,17.65,9.76,-27.9,38.0,0,False,False,20180620:-23.5%;20150515:-60.5%;20130716:-33.1%,
光通信,SZ,300265,通光线缆,20260922,13.85,-2.74,4.3,1.2,0.5,多头,13.83,13.73,13.78,14.21,0.5,-2.5,0.5,-0.137,-0.224,0.174,,False,52.0,48.9,52.4,44.4,68.3,57.0,1.17,1.19,5.18,14.56,13.17,20.47,11.24,-32.3,28.0,0,False,False,20150602:-61.2%,
光通信,SZ,300270,中威电子,20260922,10.57,-1.21,5.8,-2.1,-7.0,震荡,10.46,10.42,10.87,11.44,-2.7,-7.6,-2.7,-0.344,-0.342,-0.004,,False,49.1,43.1,48.1,32.6,79.2,36.0,0.8,0.95,2.34,11.94,9.94,15.1,8.1,-30.0,35.0,0,False,False,20150527:-54.6%;20130503:-49.7%;20120423:-35.0%,
光通信,SZ,300292,吴通控股,20260922,4.64,-0.22,0.4,5.9,8.9,多头,4.67,4.6,4.46,4.32,4.0,7.3,2.9,0.092,0.066,0.054,,True,59.2,58.5,69.6,72.9,63.0,76.0,1.15,1.23,6.0,4.81,4.17,5.37,3.6,-13.6,59.0,0,False,False,20160927:-75.3%;20140508:-35.2%;20130516:-33.0%,
光通信,SZ,300303,聚飞光电,20260922,6.98,0.14,3.6,1.0,0.1,震荡,6.93,6.87,6.94,7.34,0.6,-4.9,-0.1,-0.088,-0.125,0.074,,False,59.9,48.8,68.6,58.7,88.6,59.0,1.33,1.06,3.18,7.32,6.56,10.96,6.35,-36.3,14.0,0,False,False,20170517:-44.7%;20150424:-56.7%;20140523:-23.8%,
光通信,SZ,300308,中际旭创,20260922,927.72,-1.41,7.4,2.8,9.7,多头,919.79,906.1,879.89,967.1,5.4,-4.1,0.8,-1.909,-13.948,24.078,,False,59.8,52.9,68.5,67.6,70.2,82.0,0.92,0.95,2.12,974.99,804.02,1315.57,793.03,-29.5,26.0,0,False,False,20240606:-26.1%;20190604:-27.7%;20141008:-44.2%,
光通信,SZ,300351,永贵电器,20260922,14.17,-1.39,3.2,-2.1,-0.4,震荡,14.22,14.18,14.33,14.13,-1.1,0.3,0.9,-0.024,-0.012,-0.024,,False,46.5,48.4,51.1,43.4,66.5,36.0,0.87,0.76,2.19,15.52,13.56,17.98,10.9,-21.2,46.0,0,False,False,20150409:-54.6%;20140527:-34.1%;20130524:-25.5%,
光通信,SZ,300394,天孚通信,20260922,275.84,-1.22,7.2,6.7,7.3,多头,277.28,268.97,263.09,245.56,4.8,12.3,1.0,7.118,5.661,2.914,金叉(4日前),True,59.2,57.2,68.9,67.4,72.0,81.0,0.74,1.02,2.63,292.07,237.8,304.0,155.55,-9.3,81.0,0,False,False,20260612:-26.5%;20250609:-26.4%;20240530:-29.3%,
光通信,SZ,300395,菲利华,20260922,97.08,2.84,0.6,1.9,16.6,多头,95.86,96.58,94.41,91.66,2.8,5.9,2.6,1.466,1.451,0.031,金叉(1日前),True,57.4,55.0,38.3,44.7,25.5,71.0,1.08,0.93,5.35,102.99,83.72,136.59,69.8,-28.9,41.0,0,False,False,20220602:-33.6%;20170427:-32.7%;20160530:-37.1%,
光通信,SZ,300398,飞凯材料,20260922,37.92,-1.12,7.7,14.9,8.7,多头,37.63,35.76,35.11,37.55,8.0,1.0,1.7,0.391,-0.264,1.31,,True,73.2,59.2,84.6,78.6,96.5,88.0,1.07,1.39,6.02,39.3,31.6,64.88,28.56,-41.6,26.0,0,False,False,20170322:-71.2%;20150507:-23.1%,
光通信,SZ,300408,三环集团,20260922,129.48,-0.28,2.6,12.4,18.7,多头,129.63,126.0,118.75,119.65,9.0,8.2,4.2,3.526,1.785,3.483,,True,70.4,61.5,73.3,78.1,63.8,83.0,0.99,1.0,2.51,139.5,106.1,177.77,86.03,-27.2,47.0,0,False,False,20160418:-51.2%;20150522:-48.0%,
光通信,SZ,300433,蓝思科技,20260922,34.44,-1.12,4.8,-0.5,-9.1,震荡,33.9,33.78,35.43,37.57,-2.8,-8.3,-2.4,-0.904,-0.913,0.017,金叉(1日前),False,52.7,45.6,43.2,30.6,68.3,38.0,1.44,1.03,2.39,40.09,32.55,56.41,30.8,-38.9,14.0,0,False,False,20180702:-33.3%;20160621:-67.1%,
光通信,SZ,300447,全信股份,20260922,14.31,-0.62,3.5,0.0,5.5,强多头,14.26,14.24,14.21,13.71,0.7,4.4,1.5,0.117,0.125,-0.016,,True,54.6,54.2,58.5,52.0,71.5,61.0,0.89,0.96,1.66,14.64,13.42,15.34,11.67,-6.7,72.0,0,False,False,20170519:-40.8%;20160616:-50.6%,
光通信,SZ,300502,新易盛,20260922,455.0,-0.38,14.6,9.3,13.5,多头,440.95,425.24,412.75,449.74,10.2,1.2,1.5,3.351,-4.6,15.902,,True,74.6,59.3,74.4,67.9,87.3,102.0,0.99,1.06,2.76,475.0,378.56,618.87,347.0,-26.5,40.0,0,False,False,20260611:-28.5%;20250528:-27.7%;20230608:-30.5%,
光通信,SZ,300504,天邑股份,20260922,19.5,5.75,15.0,12.8,25.8,强多头,18.19,17.64,17.48,15.66,11.6,24.5,5.0,0.709,0.594,0.231,金叉(2日前),True,85.7,73.2,79.2,67.1,103.4,116.0,1.75,1.1,7.38,19.85,14.9,19.85,11.67,-1.8,96.0,0,True,False,,
光通信,SZ,300516,久之洋,20260922,36.62,-0.84,9.6,2.7,18.4,强多头,35.45,35.15,34.73,31.83,5.4,15.0,3.3,0.993,0.959,0.069,金叉(1日前),True,67.3,62.6,63.4,50.5,89.2,81.0,0.98,0.92,2.39,37.5,30.2,38.2,23.45,-4.1,89.0,0,True,False,20260513:-28.0%;20190618:-34.8%,
光通信,SZ,300548,长芯博创,20260922,236.2,-3.19,14.3,11.7,20.4,多头,236.77,223.24,214.71,196.24,10.0,20.4,4.8,10.903,8.048,5.71,金叉(5日前),True,65.1,61.9,78.6,72.9,89.9,88.0,0.92,1.09,4.22,247.8,187.57,279.98,123.48,-15.6,72.0,0,False,False,20220513:-34.7%;20200520:-42.8%,
光通信,SZ,300557,理工光科,20260922,26.15,0.97,3.5,-3.8,1.1,震荡,25.81,25.89,26.54,26.69,-1.5,-2.0,0.2,-0.214,-0.136,-0.156,,False,53.1,48.8,38.6,29.2,57.6,39.0,1.19,0.91,1.96,28.88,25.0,36.6,20.7,-28.6,34.0,0,False,False,20260605:-23.2%;20250529:-22.1%;20240517:-23.6%,
光通信,SZ,300565,科信技术,20260922,10.03,-0.69,2.9,-0.8,1.3,多头,9.95,10.0,10.03,9.56,0.0,4.9,0.9,0.058,0.077,-0.037,,True,53.6,53.0,49.4,43.4,61.3,50.0,0.93,1.07,3.16,10.39,9.62,10.49,7.68,-4.4,84.0,0,False,False,20180604:-22.4%,
光通信,SZ,300570,太辰光,20260922,227.46,1.68,17.0,12.9,12.2,强多头,220.58,210.13,203.54,181.79,11.8,25.1,2.2,11.058,9.022,4.071,金叉(4日前),True,72.2,64.3,70.1,69.1,72.1,98.0,1.19,1.27,11.18,242.99,178.18,251.82,102.3,-9.7,84.0,0,False,False,20170630:-45.5%,
光通信,SZ,300571,平治信息,20260922,29.72,1.43,9.3,1.9,-0.8,震荡,29.07,28.5,29.01,32.13,2.4,-7.5,-1.1,-0.832,-1.14,0.615,金叉(5日前),False,67.1,49.1,57.7,44.6,83.9,71.0,1.18,1.14,6.06,31.14,26.81,46.67,25.12,-36.3,21.0,0,False,False,20180530:-36.7%;20170927:-50.2%,
光通信,SZ,300603,立昂技术,20260922,8.27,1.47,0.5,-0.7,8.2,强多头,8.11,8.1,8.09,7.85,2.2,5.3,1.4,0.039,0.035,0.007,金叉(1日前),True,64.6,55.7,62.2,56.7,73.3,81.0,1.19,0.99,3.75,8.39,7.63,9.64,6.66,-14.2,54.0,0,False,False,20200713:-33.3%;20190628:-41.4%,
光通信,SZ,300620,光库科技,20260922,292.0,-0.84,3.3,1.1,0.5,空头,294.84,292.66,293.65,281.41,-0.6,3.8,-0.4,1.293,1.843,-1.101,,True,48.0,50.1,51.6,49.6,55.8,46.0,1.03,1.15,4.7,325.98,276.19,375.73,184.35,-22.3,56.0,0,False,False,20230518:-31.5%;20211101:-33.8%,
光通信,SZ,300667,必创科技,20260922,15.1,-0.33,1.8,3.4,3.9,强多头,14.99,14.83,14.76,14.52,2.3,4.0,0.9,0.118,0.074,0.089,,True,59.9,55.4,73.2,64.9,89.8,84.0,0.93,1.07,2.88,15.31,14.08,17.65,11.75,-14.4,57.0,0,False,False,20200708:-34.1%;20180627:-33.9%,
